GEOID,location,name,estimate,moe,label,concept,geography
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_001,1145,200,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_002,1100,201,"Estimate!!Total:!!Car, truck, or van:",MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_003,1022,191,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_004,78,52,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_005,78,52,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_006,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_007,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_008,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_009,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_010,31,33,Estimate!!Total:!!Public transportation (excluding taxicab):,MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_011,11,16,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_012,20,29,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_013,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail,MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_014,0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)",MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_015,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat,MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_016,0,12,Estimate!!Total:!!Taxicab,MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_017,0,12,Estimate!!Total:!!Motorcycle,MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_018,0,12,Estimate!!Total:!!Bicycle,MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_019,0,12,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_020,7,20,Estimate!!Total:!!Other means,MEANS OF TRANSPORTATION TO WORK,block group
29510101100,Census Tract 1011; St. Louis city; Missouri,B08301_021,7,11,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_001,1921,283,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_002,1769,288,"Estimate!!Total:!!Car, truck, or van:",MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_003,1587,303,"Estimate!!Total:!!Car, truck, or van:!!Drove alone",MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_004,182,104,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:",MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_005,159,98,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_006,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_007,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_008,23,37,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_009,0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool",MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_010,11,17,Estimate!!Total:!!Public transportation (excluding taxicab):,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_011,11,17,Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus,MEANS OF TRANSPORTATION TO WORK,block group
29510101200,Census Tract 1012; St. Louis city; Missouri,B08301_012,0,12,Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail,MEANS OF TRANSPORTATION TO WORK,block group
