STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,LAYER,AREA_SQMI,SHAPE_area,SHAPE_len
"29","510","123200","29510123200","1232",Census Tract 1232,G5020,S,"1113329","0","+38.6132904","-090.2137501",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","124600","29510124600","1246",Census Tract 1246,G5020,S,"2152098","578571","+38.5890298","-090.2141395",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","125500","29510125500","1255",Census Tract 1255,G5020,S,"1099352","0","+38.6293098","-090.2029461",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","104500","29510104500","1045",Census Tract 1045,G5020,S,"1939714","0","+38.6265570","-090.2808684",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","106100","29510106100","1061",Census Tract 1061,G5020,S,"962329","0","+38.6693968","-090.2811551",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","105500","29510105500","1055",Census Tract 1055,G5020,S,"1195496","0","+38.6600293","-090.2769757",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","105200","29510105200","1052",Census Tract 1052,G5020,S,"830997","0","+38.6505568","-090.2888132",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","105300","29510105300","1053",Census Tract 1053,G5020,S,"958234","0","+38.6575904","-090.2883021",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","105400","29510105400","1054",Census Tract 1054,G5020,S,"721521","0","+38.6650530","-090.2895436",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","104200","29510104200","1042",Census Tract 1042,G5020,S,"1127894","0","+38.6283911","-090.3001038",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","103600","29510103600","1036",Census Tract 1036,G5020,S,"1372431","0","+38.6168916","-090.2893166",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","105198","29510105198","1051.98",Census Tract 1051.98,G5020,S,"1175837","0","+38.6495453","-090.2997487",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","106500","29510106500","1065",Census Tract 1065,G5020,S,"1064170","0","+38.6689218","-090.2655684",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
"29","510","106600","29510106600","1066",Census Tract 1066,G5020,S,"854840","0","+38.6627120","-090.2664515",--CITY_LIMIT_BOUND_2002--,62.11000,1845207807.69000005722,218275.77128200000
