GEOID,location,name,estimate,moe,label,concept,geography
29510101100,Census Tract 1011; St. Louis city; Missouri,B08105A_001,998,144,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08105A_002,875,139,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08105A_003,78,52,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08105A_004,31,33,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08105A_005,0,12,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08105A_006,7,20,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08105A_007,7,11,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101200,Census Tract 1012; St. Louis city; Missouri,B08105A_001,1458,183,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101200,Census Tract 1012; St. Louis city; Missouri,B08105A_002,1209,183,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101200,Census Tract 1012; St. Louis city; Missouri,B08105A_003,126,75,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101200,Census Tract 1012; St. Louis city; Missouri,B08105A_004,0,12,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101200,Census Tract 1012; St. Louis city; Missouri,B08105A_005,10,16,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101200,Census Tract 1012; St. Louis city; Missouri,B08105A_006,12,18,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101200,Census Tract 1012; St. Louis city; Missouri,B08105A_007,101,53,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101300,Census Tract 1013; St. Louis city; Missouri,B08105A_001,1517,272,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101300,Census Tract 1013; St. Louis city; Missouri,B08105A_002,1263,280,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101300,Census Tract 1013; St. Louis city; Missouri,B08105A_003,81,74,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101300,Census Tract 1013; St. Louis city; Missouri,B08105A_004,0,12,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101300,Census Tract 1013; St. Louis city; Missouri,B08105A_005,9,16,Estimate!!Total:!!Walked,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101300,Census Tract 1013; St. Louis city; Missouri,B08105A_006,20,62,"Estimate!!Total:!!Taxicab, motorcycle, bicycle, or other means",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101300,Census Tract 1013; St. Louis city; Missouri,B08105A_007,144,89,Estimate!!Total:!!Worked from home,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101400,Census Tract 1014; St. Louis city; Missouri,B08105A_001,740,123,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101400,Census Tract 1014; St. Louis city; Missouri,B08105A_002,546,139,"Estimate!!Total:!!Car, truck, or van - drove alone",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101400,Census Tract 1014; St. Louis city; Missouri,B08105A_003,48,45,"Estimate!!Total:!!Car, truck, or van - carpooled",MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
29510101400,Census Tract 1014; St. Louis city; Missouri,B08105A_004,7,12,Estimate!!Total:!!Public transportation (excluding taxicab),MEANS OF TRANSPORTATION TO WORK (WHITE ALONE),tract
