GEOID,location,name,estimate,moe,label,concept,geography
29510101100,Census Tract 1011; St. Louis city; Missouri,B08119_001,1145,200,Estimate!!Total:,MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08119_002,114,64,"Estimate!!Total:!!$1 to $9,999 or loss",MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08119_003,47,32,"Estimate!!Total:!!$10,000 to $14,999",MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08119_004,73,47,"Estimate!!Total:!!$15,000 to $24,999",MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08119_005,194,145,"Estimate!!Total:!!$25,000 to $34,999",MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08119_006,303,87,"Estimate!!Total:!!$35,000 to $49,999",MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08119_007,195,73,"Estimate!!Total:!!$50,000 to $64,999",MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08119_008,44,42,"Estimate!!Total:!!$65,000 to $74,999",MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08119_009,175,72,"Estimate!!Total:!!$75,000 or more",MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),tract
29510101100,Census Tract 1011; St. Louis city; Missouri,B08119_010,1022,191,"Estimate!!Total:!!Car, truck, or van - drove alone:",MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS),tract
