"","GEOID","location","name","estimate","moe","label","concept","geography"
"1","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_001",719,208,"Estimate!!Total:","MEANS OF TRANSPORTATION TO WORK","block group"
"2","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_002",674,203,"Estimate!!Total:!!Car, truck, or van:","MEANS OF TRANSPORTATION TO WORK","block group"
"3","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_003",630,200,"Estimate!!Total:!!Car, truck, or van:!!Drove alone","MEANS OF TRANSPORTATION TO WORK","block group"
"4","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_004",44,36,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:","MEANS OF TRANSPORTATION TO WORK","block group"
"5","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_005",44,36,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 2-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"6","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_006",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 3-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"7","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_007",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 4-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"8","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_008",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 5- or 6-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"9","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_009",0,12,"Estimate!!Total:!!Car, truck, or van:!!Carpooled:!!In 7-or-more-person carpool","MEANS OF TRANSPORTATION TO WORK","block group"
"10","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_010",31,33,"Estimate!!Total:!!Public transportation (excluding taxicab):","MEANS OF TRANSPORTATION TO WORK","block group"
"11","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_011",11,16,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Bus","MEANS OF TRANSPORTATION TO WORK","block group"
"12","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_012",20,29,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Subway or elevated rail","MEANS OF TRANSPORTATION TO WORK","block group"
"13","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_013",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Long-distance train or commuter rail","MEANS OF TRANSPORTATION TO WORK","block group"
"14","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_014",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Light rail, streetcar or trolley (carro público in Puerto Rico)","MEANS OF TRANSPORTATION TO WORK","block group"
"15","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_015",0,12,"Estimate!!Total:!!Public transportation (excluding taxicab):!!Ferryboat","MEANS OF TRANSPORTATION TO WORK","block group"
"16","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_016",0,12,"Estimate!!Total:!!Taxicab","MEANS OF TRANSPORTATION TO WORK","block group"
"17","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_017",0,12,"Estimate!!Total:!!Motorcycle","MEANS OF TRANSPORTATION TO WORK","block group"
"18","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_018",0,12,"Estimate!!Total:!!Bicycle","MEANS OF TRANSPORTATION TO WORK","block group"
"19","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_019",0,12,"Estimate!!Total:!!Walked","MEANS OF TRANSPORTATION TO WORK","block group"
"20","295101011001","Block Group 1; Census Tract 1011; St. Louis city; Missouri","B08301_020",7,20,"Estimate!!Total:!!Other means","MEANS OF TRANSPORTATION TO WORK","block group"
