"","GEOID","location","name","estimate","moe","label","concept","geography"
"1","29189","St. Louis County, Missouri","B08119_001",491721,2984,"Estimate!!Total:","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"2","29189","St. Louis County, Missouri","B08119_002",47288,1871,"Estimate!!Total:!!$1 to $9,999 or loss","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"3","29189","St. Louis County, Missouri","B08119_003",23976,1343,"Estimate!!Total:!!$10,000 to $14,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"4","29189","St. Louis County, Missouri","B08119_004",43589,2028,"Estimate!!Total:!!$15,000 to $24,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"5","29189","St. Louis County, Missouri","B08119_005",53755,2020,"Estimate!!Total:!!$25,000 to $34,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"6","29189","St. Louis County, Missouri","B08119_006",76374,2275,"Estimate!!Total:!!$35,000 to $49,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"7","29189","St. Louis County, Missouri","B08119_007",59651,2063,"Estimate!!Total:!!$50,000 to $64,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"8","29189","St. Louis County, Missouri","B08119_008",30967,1612,"Estimate!!Total:!!$65,000 to $74,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"9","29189","St. Louis County, Missouri","B08119_009",156121,2725,"Estimate!!Total:!!$75,000 or more","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"10","29189","St. Louis County, Missouri","B08119_010",373150,3702,"Estimate!!Total:!!Car, truck, or van - drove alone:","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"11","29189","St. Louis County, Missouri","B08119_011",32120,1415,"Estimate!!Total:!!Car, truck, or van - drove alone:!!$1 to $9,999 or loss","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"12","29189","St. Louis County, Missouri","B08119_012",17590,1151,"Estimate!!Total:!!Car, truck, or van - drove alone:!!$10,000 to $14,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"13","29189","St. Louis County, Missouri","B08119_013",31572,1651,"Estimate!!Total:!!Car, truck, or van - drove alone:!!$15,000 to $24,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"14","29189","St. Louis County, Missouri","B08119_014",42589,1824,"Estimate!!Total:!!Car, truck, or van - drove alone:!!$25,000 to $34,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"15","29189","St. Louis County, Missouri","B08119_015",61342,1942,"Estimate!!Total:!!Car, truck, or van - drove alone:!!$35,000 to $49,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"16","29189","St. Louis County, Missouri","B08119_016",47866,1848,"Estimate!!Total:!!Car, truck, or van - drove alone:!!$50,000 to $64,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"17","29189","St. Louis County, Missouri","B08119_017",23860,1342,"Estimate!!Total:!!Car, truck, or van - drove alone:!!$65,000 to $74,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"18","29189","St. Louis County, Missouri","B08119_018",116211,2637,"Estimate!!Total:!!Car, truck, or van - drove alone:!!$75,000 or more","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"19","29189","St. Louis County, Missouri","B08119_019",30269,1736,"Estimate!!Total:!!Car, truck, or van - carpooled:","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"20","29189","St. Louis County, Missouri","B08119_020",4866,644,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$1 to $9,999 or loss","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"21","29189","St. Louis County, Missouri","B08119_021",2010,367,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$10,000 to $14,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"22","29189","St. Louis County, Missouri","B08119_022",4127,685,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$15,000 to $24,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"23","29189","St. Louis County, Missouri","B08119_023",4154,664,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$25,000 to $34,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"24","29189","St. Louis County, Missouri","B08119_024",4792,715,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$35,000 to $49,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"25","29189","St. Louis County, Missouri","B08119_025",3202,479,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$50,000 to $64,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"26","29189","St. Louis County, Missouri","B08119_026",1285,278,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$65,000 to $74,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"27","29189","St. Louis County, Missouri","B08119_027",5833,726,"Estimate!!Total:!!Car, truck, or van - carpooled:!!$75,000 or more","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"28","29189","St. Louis County, Missouri","B08119_028",7674,768,"Estimate!!Total:!!Public transportation (excluding taxicab):","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"29","29189","St. Louis County, Missouri","B08119_029",1801,422,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$1 to $9,999 or loss","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"30","29189","St. Louis County, Missouri","B08119_030",534,309,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$10,000 to $14,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"31","29189","St. Louis County, Missouri","B08119_031",1477,362,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$15,000 to $24,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"32","29189","St. Louis County, Missouri","B08119_032",1217,282,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$25,000 to $34,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"33","29189","St. Louis County, Missouri","B08119_033",1147,312,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$35,000 to $49,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"34","29189","St. Louis County, Missouri","B08119_034",515,205,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$50,000 to $64,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
"35","29189","St. Louis County, Missouri","B08119_035",322,166,"Estimate!!Total:!!Public transportation (excluding taxicab):!!$65,000 to $74,999","MEANS OF TRANSPORTATION TO WORK BY WORKERS' EARNINGS IN THE PAST 12 MONTHS (IN 2020 INFLATION-ADJUSTED DOLLARS)","tract"
